Size [pixels]	Fo	Fo_gauss	Fo_median	Fm	Fv	Fp	Fp-median	Fp-gauss	Fp-average	Fm_L1	Fm_L2	Fm_L3	Fm_L4	Fm_Lss	Fm_D1	Fm_D2	Fm_D3	Ft_L1	Ft_L2	Ft_L3	Ft_L4	Ft_Lss	Ft_D1	Ft_D2	Ft_D3	Fo_L1	Fo_L2	Fo_L3	Fo_L4	Fo_Lss	Fo_D1	Fo_D2	Fo_D3	Fv_L1	Fv_L2	Fv_L3	Fv_L4	Fv_Lss	Fv_D1	Fv_D2	Fv_D3	Fq_L1	Fq_L2	Fq_L3	Fq_L4	Fq_Lss	Fq_D1	Fq_D2	Fq_D3	QY_max	Fv/Fm_L1	Fv/Fm_L2	Fv/Fm_L3	Fv/Fm_L4	Fv/Fm_Lss	Fv/Fm_D1	Fv/Fm_D2	Fv/Fm_D3	QY_L1	QY_L2	QY_L3	QY_L4	QY_Lss	QY_D1	QY_D2	QY_D3	NPQ_L1	NPQ_L2	NPQ_L3	NPQ_L4	NPQ_Lss	NPQ_D1	NPQ_D2	NPQ_D3	qN_L1	qN_L2	qN_L3	qN_L4	qN_Lss	qN_D1	qN_D2	qN_D3	qP_L1	qP_L2	qP_L3	qP_L4	qP_Lss	qP_D1	qP_D2	qP_D3	qL_L1	qL_L2	qL_L3	qL_L4	qL_Lss	qL_D1	qL_D2	qL_D3	Rfd_L1	Rfd_L2	Rfd_L3	Rfd_L4	Rfd_Lss	plant	inoculation
1498.0	91.65	91.65	76.13	706.8	615.15	736.96	681.57	885.58	793.76	607.89	423.12	358.87	304.75	282.36	534.23	562.07	567.74	619.41	423.45	343.96	298.58	274.91	110.02	111.98	111.76	89.69	84.05	81.03	77.72	76.13	87.83	88.6	88.74	518.2	339.08	277.84	227.03	206.23	446.41	473.47	479.0	-11.52	-0.32	14.9	6.17	7.45	424.22	450.09	455.98	0.87	0.85	0.8	0.77	0.74	0.73	0.83	0.84	0.84	-0.03	-0.01	0.03	-0.0	0.01	0.79	0.8	0.8	0.17	0.69	1.0	1.37	1.57	0.34	0.27	0.26	0.15	0.45	0.55	0.64	0.67	0.27	0.23	0.22	-0.03	-0.02	0.03	-0.01	-0.0	0.95	0.95	0.95	-0.33	-0.24	-0.01	-0.27	-0.2	1.19	1.2	1.2	0.2	0.77	1.2	1.55	1.85	AT5G45470	E-
640.0	61.32	61.32	48.81	504.31	442.99	543.51	492.86	684.7	595.06	433.92	332.47	287.8	252.58	237.64	362.66	393.17	398.11	441.86	333.51	278.08	245.07	226.45	73.48	77.14	77.45	60.06	57.44	55.84	54.22	53.48	58.34	59.14	59.27	373.86	275.03	231.96	198.36	184.16	304.32	334.04	338.85	-7.94	-1.04	9.72	7.51	11.18	289.18	316.04	320.66	0.88	0.86	0.82	0.8	0.78	0.77	0.84	0.85	0.85	-0.04	-0.02	0.01	-0.0	0.02	0.79	0.8	0.8	0.18	0.55	0.8	1.06	1.19	0.42	0.31	0.29	0.15	0.38	0.48	0.55	0.59	0.31	0.24	0.23	-0.05	-0.03	0.01	-0.02	0.01	0.95	0.95	0.95	-0.58	-0.43	-0.21	-0.43	-0.24	1.18	1.24	1.24	0.26	0.68	1.04	1.34	1.55	AT5G45470	E-
664.0	58.08	58.08	44.87	491.79	433.71	508.32	463.38	628.65	553.86	441.81	351.17	282.57	242.67	218.32	376.55	406.39	413.9	427.13	349.78	273.01	220.4	194.09	69.67	72.56	73.16	57.27	55.29	53.12	51.37	50.13	55.93	56.57	56.74	384.54	295.88	229.45	191.3	168.19	320.62	349.82	357.16	14.67	1.39	9.56	22.27	24.24	306.88	333.82	340.74	0.88	0.87	0.84	0.81	0.78	0.77	0.85	0.86	0.86	0.02	-0.01	0.02	0.06	0.09	0.81	0.82	0.82	0.12	0.42	0.78	1.1	1.32	0.33	0.23	0.21	0.11	0.32	0.47	0.56	0.62	0.26	0.19	0.17	0.03	-0.01	0.02	0.08	0.1	0.96	0.96	0.96	0.11	-0.25	-0.15	0.07	0.16	1.2	1.22	1.23	0.21	0.48	0.93	1.41	1.78	AT5G45470	E-
213.0	42.74	42.74	29.73	389.82	347.08	394.73	351.91	521.73	442.98	331.34	231.75	184.56	162.26	147.46	299.22	314.68	319.13	333.21	235.95	184.88	159.07	139.48	46.87	52.22	52.25	41.84	39.42	37.58	36.44	35.62	41.25	41.58	41.61	289.5	192.33	146.97	125.82	111.85	257.97	273.1	277.52	-1.87	-4.2	-0.32	3.19	7.98	252.35	262.46	266.88	0.89	0.87	0.82	0.79	0.77	0.75	0.86	0.87	0.87	-0.02	-0.05	-0.05	-0.02	0.0	0.84	0.83	0.83	0.2	0.74	1.24	1.51	1.79	0.34	0.27	0.25	0.16	0.44	0.58	0.64	0.68	0.25	0.21	0.19	-0.03	-0.07	-0.08	-0.05	-0.02	0.98	0.96	0.96	-0.42	-0.79	-0.93	-0.62	-0.82	1.12	1.22	1.22	0.22	0.76	1.28	1.7	2.36	AT5G45470	E-
265.0	52.19	52.19	39.52	437.2	385.02	460.44	406.58	603.26	514.71	366.54	262.88	207.8	180.87	163.06	329.94	340.1	347.71	380.68	255.81	217.01	183.73	165.64	61.61	68.25	62.65	50.94	48.1	45.49	43.98	42.61	50.1	50.36	50.59	315.6	214.78	162.31	136.89	120.45	279.84	289.74	297.12	-14.13	7.07	-9.2	-2.85	-2.58	268.32	271.85	285.06	0.88	0.86	0.81	0.77	0.75	0.73	0.85	0.85	0.85	-0.06	-0.0	-0.09	-0.08	-0.06	0.81	0.79	0.82	0.23	0.72	1.21	1.57	1.85	0.37	0.33	0.3	0.17	0.44	0.58	0.65	0.69	0.27	0.24	0.22	-0.08	-0.01	-0.13	-0.14	-0.12	0.96	0.94	0.96	-0.92	-0.43	-1.07	-1.5	-0.99	1.2	1.3	1.22	0.25	0.89	1.27	1.72	2.17	AT5G45470	E-
1232.0	92.34	92.34	76.99	708.5	616.16	736.8	678.68	883.62	792.11	599.29	415.88	353.54	303.23	275.93	531.57	558.43	564.06	613.62	410.76	341.14	291.42	269.91	111.56	112.08	110.68	90.13	84.24	81.29	78.15	76.1	88.39	89.11	89.25	509.15	331.64	272.24	225.09	199.83	443.18	469.31	474.81	-14.33	5.11	12.4	11.81	6.03	420.0	446.35	453.38	0.87	0.85	0.8	0.77	0.74	0.72	0.83	0.84	0.84	-0.03	-0.0	0.02	0.02	-0.0	0.79	0.8	0.8	0.19	0.73	1.04	1.39	1.64	0.35	0.28	0.27	0.17	0.46	0.56	0.64	0.68	0.28	0.24	0.23	-0.04	-0.01	0.02	0.02	-0.01	0.95	0.95	0.96	-0.36	-0.17	-0.06	-0.11	-0.25	1.19	1.19	1.18	0.21	0.83	1.23	1.62	1.85	AT5G45470	E-
726.0	88.7	88.7	72.13	678.21	589.51	708.58	647.0	863.44	768.74	578.03	390.66	330.21	289.42	260.4	507.15	540.59	548.1	590.59	393.98	324.2	274.7	245.87	108.96	106.8	106.6	86.63	80.49	77.44	74.91	72.45	84.75	85.72	85.86	491.4	310.17	252.77	214.51	187.95	422.41	454.87	462.25	-12.56	-3.32	6.01	14.73	14.53	398.19	433.79	441.5	0.87	0.85	0.79	0.76	0.74	0.71	0.83	0.84	0.84	-0.03	-0.03	-0.0	0.03	0.02	0.79	0.8	0.8	0.19	0.77	1.11	1.42	1.74	0.38	0.29	0.27	0.16	0.47	0.57	0.64	0.69	0.29	0.23	0.22	-0.04	-0.04	-0.01	0.03	0.02	0.95	0.96	0.96	-0.41	-0.37	-0.23	-0.11	-0.24	1.2	1.17	1.19	0.22	0.84	1.26	1.7	2.08	AT5G45470	E-
946.0	69.35	69.35	55.76	568.03	498.67	599.17	544.63	744.96	655.29	486.98	344.41	293.21	250.48	232.02	417.19	446.41	448.92	501.38	347.83	282.3	244.47	227.22	85.94	87.47	85.01	67.92	63.99	61.86	59.6	58.41	66.27	67.05	67.1	419.06	280.42	231.35	190.89	173.61	350.91	379.36	381.83	-14.4	-3.42	10.9	6.01	4.8	331.24	358.94	363.91	0.88	0.86	0.81	0.79	0.76	0.74	0.84	0.85	0.85	-0.04	-0.03	0.02	-0.01	-0.02	0.79	0.8	0.81	0.18	0.68	0.99	1.34	1.54	0.39	0.3	0.29	0.15	0.44	0.54	0.62	0.65	0.29	0.23	0.23	-0.05	-0.04	0.02	-0.02	-0.04	0.94	0.94	0.95	-0.61	-0.45	-0.17	-0.41	-0.56	1.22	1.23	1.22	0.22	0.78	1.25	1.59	1.79	AT5G45470	E-
431.0	49.17	49.17	36.79	426.97	377.8	443.61	395.02	575.89	492.89	362.51	262.81	216.32	193.6	177.85	315.12	331.93	340.08	351.88	254.57	216.77	189.17	177.85	58.4	60.95	61.75	48.1	45.54	43.72	42.64	41.78	47.07	47.45	47.68	314.41	217.27	172.6	150.96	136.08	268.05	284.48	292.39	10.63	8.24	-0.45	4.43	-0.0	256.72	270.98	278.33	0.88	0.87	0.82	0.79	0.77	0.76	0.85	0.85	0.86	0.01	0.0	-0.05	-0.03	-0.05	0.81	0.81	0.82	0.2	0.68	1.07	1.31	1.53	0.39	0.32	0.29	0.16	0.42	0.54	0.6	0.64	0.29	0.24	0.22	0.01	-0.0	-0.07	-0.06	-0.08	0.96	0.95	0.95	-0.15	-0.41	-0.86	-0.92	-0.97	1.17	1.24	1.25	0.3	0.83	1.38	1.54	1.7	AT5G45470	E-
664.0	53.22	53.22	40.62	459.06	405.84	488.28	438.57	626.35	539.33	381.75	273.89	233.26	201.61	185.88	353.92	369.77	372.77	387.87	271.51	229.21	199.12	180.63	65.4	69.31	65.38	51.88	48.87	47.25	45.61	44.55	51.33	51.66	51.7	329.87	225.02	186.02	156.0	141.33	302.59	318.11	321.06	-6.12	2.38	4.05	2.49	5.25	288.52	300.46	307.39	0.88	0.86	0.82	0.79	0.77	0.75	0.85	0.86	0.86	-0.03	-0.02	-0.01	-0.03	-0.03	0.81	0.81	0.82	0.23	0.75	1.06	1.4	1.65	0.33	0.27	0.26	0.18	0.44	0.54	0.62	0.65	0.25	0.21	0.2	-0.04	-0.03	-0.03	-0.06	-0.08	0.95	0.94	0.96	-0.51	-0.61	-0.5	-0.72	-1.05	1.21	1.28	1.25	0.3	0.92	1.29	1.66	2.01	AT5G45470	E-
