plant	length
70eminus	6.59523557973936
70eminus	7.95936696843405
70eminus	15.3474653374359
70eminus	9.2011996565835
70eminus	9.44395834621471
70eminus	15.993218395828
70eminus	10.8135839307354
70eminus	3.68529710107502
70eminus	6.07329772167974
70eminus	7.06941606348717
70eminus	13.965457823425
70eminus	10.3960311057469
70eminus	10.5651860909534
70eminus	9.36711961685334
70eminus	6.61437611346567
70eminus	16.2899512549967
70eminus	10.9661224750868
70eminus	0.787871143119595
70eminus	11.806599873458
70eminus	6.95737148608363
70eminus	4.49988809427433
70eminus	8.00976360246124
70eminus	4.6726016284911
70eminus	5.89967922302759
70eminus	6.32858782378257
70eminus	1.94395662663383
70eminus	12.3700604937624
70eminus	9.54343097666481
70eminus	4.20949445014066
70eminus	14.0882556240188
70eminus	10.6712972346992
70eminus	7.69135477524192
70eminus	12.6068689801159
70eminus	12.5366913035115
70eminus	12.3031298671628
70eminus	11.7540842494334
70eminus	11.1976799091102
70eminus	8.65430463531814
70eminus	7.64637419875414
70eminus	7.33865476581886
70eminus	6.04086017705828
70eminus	8.05130164177906
70eminus	3.68391306802307
70eminus	17.8677881368481
70eminus	13.8988830529996
70eminus	4.27156155137017
70eminus	7.24608563021482
70eminus	6.98271338953611
70eminus	12.131255938729
70eminus	8.56568575547135
70eplus	5.69597332519056
70eplus	5.18861584037233
70eplus	5.16283317687563
70eplus	7.70348411122602
70eplus	4.83361222581332
70eplus	7.96964708797317
70eplus	2.4522449523856
70eplus	6.29230474934492
70eplus	5.46293763892031
70eplus	5.62869482373915
70eplus	5.92335106896779
70eplus	4.33581778440326
70eplus	4.64022670939504
70eplus	3.40656431040724
70eplus	3.31077579234396
70eplus	5.78635155452766
70eplus	6.04677760153297
70eplus	5.33540760811491
70eplus	6.90008144218353
70eplus	8.93015243412886
70eplus	4.35614390109824
70eplus	1.08349602384654
70eplus	7.05032934403206
70eplus	3.96343862735169
70eplus	4.00158449035876
70eplus	7.08602846545406
70eplus	4.72740858730818
70eplus	3.04270811794184
70eplus	5.56634626354847
70eplus	4.98999554760972
70eplus	5.2503755346198
70eplus	5.9335047220274
70eplus	4.57281194277366
70eplus	6.3998777873339
70eplus	4.84312418872625
70eplus	5.83720753504825
70eplus	7.21431022366883
70eplus	6.02332668350085
70eplus	4.65332314604379
70eplus	7.30785371321197
70eplus	7.02830694073181
70eplus	6.22711452711453
70eplus	5.66971712320059
70eplus	4.10976906312913
70eplus	7.68917440735401
70eplus	4.15953274313517
70eplus	9.17719938742984
70eplus	7.99869912713334
70eplus	4.81573935361914
70eplus	3.39244237944779
