Size [pixels]	Fo	Fo_gauss	Fo_median	Fm	Fv	Fp	Fp-median	Fp-gauss	Fp-average	Fm_L1	Fm_L2	Fm_L3	Fm_L4	Fm_Lss	Fm_D1	Fm_D2	Fm_D3	Ft_L1	Ft_L2	Ft_L3	Ft_L4	Ft_Lss	Ft_D1	Ft_D2	Ft_D3	Fo_L1	Fo_L2	Fo_L3	Fo_L4	Fo_Lss	Fo_D1	Fo_D2	Fo_D3	Fv_L1	Fv_L2	Fv_L3	Fv_L4	Fv_Lss	Fv_D1	Fv_D2	Fv_D3	Fq_L1	Fq_L2	Fq_L3	Fq_L4	Fq_Lss	Fq_D1	Fq_D2	Fq_D3	QY_max	Fv/Fm_L1	Fv/Fm_L2	Fv/Fm_L3	Fv/Fm_L4	Fv/Fm_Lss	Fv/Fm_D1	Fv/Fm_D2	Fv/Fm_D3	QY_L1	QY_L2	QY_L3	QY_L4	QY_Lss	QY_D1	QY_D2	QY_D3	NPQ_L1	NPQ_L2	NPQ_L3	NPQ_L4	NPQ_Lss	NPQ_D1	NPQ_D2	NPQ_D3	qN_L1	qN_L2	qN_L3	qN_L4	qN_Lss	qN_D1	qN_D2	qN_D3	qP_L1	qP_L2	qP_L3	qP_L4	qP_Lss	qP_D1	qP_D2	qP_D3	qL_L1	qL_L2	qL_L3	qL_L4	qL_Lss	qL_D1	qL_D2	qL_D3	Rfd_L1	Rfd_L2	Rfd_L3	Rfd_L4	Rfd_Lss	plant	inoculation
2010.0	55.55	55.55	41.9	465.55	410.0	491.47	436.85	626.72	544.61	414.13	302.15	261.98	216.2	194.27	384.1	394.97	400.25	399.51	297.9	253.2	208.63	180.45	64.47	71.07	70.08	54.69	51.95	50.54	48.36	47.02	54.08	54.31	54.42	359.44	250.2	211.44	167.84	147.25	330.02	340.66	345.83	14.62	4.25	8.79	7.57	13.82	319.63	323.9	330.17	0.88	0.87	0.83	0.8	0.77	0.75	0.86	0.86	0.86	0.02	-0.01	0.01	0.01	0.04	0.83	0.82	0.82	0.14	0.58	0.83	1.24	1.51	0.24	0.21	0.19	0.12	0.39	0.49	0.59	0.64	0.19	0.16	0.15	0.02	-0.02	0.01	-0.0	0.03	0.97	0.95	0.96	-0.01	-0.38	-0.24	-0.4	-0.28	1.16	1.25	1.24	0.27	0.72	1.05	1.6	2.2	AT5G45470	E-
2123.0	64.22	64.22	50.43	522.57	458.35	543.08	491.57	669.12	590.48	464.45	312.25	269.4	229.65	214.11	434.32	453.41	458.45	439.45	310.09	258.94	212.26	190.99	75.48	78.16	77.05	63.21	58.99	57.15	55.0	53.96	62.59	62.99	63.09	401.24	253.26	212.25	174.65	160.14	371.73	390.42	395.36	24.99	2.16	10.46	17.39	23.12	358.84	375.25	381.4	0.88	0.86	0.81	0.79	0.76	0.74	0.86	0.86	0.86	0.04	-0.01	0.02	0.06	0.09	0.82	0.83	0.83	0.14	0.7	0.98	1.33	1.51	0.22	0.16	0.15	0.12	0.44	0.54	0.62	0.65	0.18	0.14	0.13	0.05	-0.01	0.02	0.07	0.11	0.97	0.96	0.97	0.22	-0.26	-0.14	-0.03	0.07	1.17	1.2	1.19	0.26	0.81	1.2	1.76	2.08	AT5G45470	E-
892.0	48.87	48.87	36.25	424.73	375.86	443.52	397.88	560.99	488.72	374.52	285.03	244.44	209.66	193.4	343.04	358.2	367.18	358.23	284.32	232.72	182.98	157.11	57.36	62.97	63.37	48.08	46.06	44.72	43.31	42.48	47.48	47.78	47.93	326.44	238.97	199.72	166.36	150.93	295.56	310.43	319.26	16.3	0.71	11.72	26.68	36.29	285.68	295.23	303.81	0.88	0.87	0.84	0.81	0.79	0.78	0.86	0.87	0.87	0.03	-0.01	0.02	0.1	0.16	0.83	0.82	0.83	0.15	0.51	0.78	1.08	1.26	0.26	0.2	0.17	0.12	0.36	0.47	0.56	0.6	0.21	0.17	0.14	0.04	-0.02	0.02	0.12	0.2	0.97	0.95	0.95	0.08	-0.43	-0.2	0.12	0.36	1.19	1.28	1.29	0.27	0.62	1.0	1.65	2.31	AT5G45470	E-
2156.0	68.63	68.63	54.23	562.11	493.47	594.45	539.99	730.57	646.09	499.29	359.69	309.79	260.47	240.14	445.49	467.29	476.57	493.18	353.13	300.62	249.4	224.44	79.76	86.22	85.54	67.56	63.98	62.12	59.71	58.46	66.4	66.88	67.09	431.74	295.71	247.67	200.76	181.68	379.09	400.41	409.48	6.11	6.57	9.17	11.07	15.7	365.74	381.06	391.03	0.88	0.86	0.82	0.8	0.77	0.75	0.85	0.86	0.86	0.0	0.0	0.01	0.02	0.04	0.82	0.82	0.82	0.14	0.58	0.85	1.21	1.41	0.28	0.22	0.19	0.12	0.4	0.5	0.59	0.63	0.23	0.18	0.16	0.0	0.0	0.01	0.02	0.04	0.97	0.95	0.95	-0.16	-0.2	-0.22	-0.2	-0.11	1.16	1.23	1.22	0.23	0.73	1.06	1.52	1.81	AT5G45470	E-
2169.0	109.55	109.55	90.81	826.92	717.37	852.68	774.93	1014.14	914.28	704.12	451.37	400.95	337.33	313.54	634.13	674.88	689.11	701.26	449.7	381.02	317.39	287.66	124.84	131.01	128.8	107.01	98.31	95.62	91.34	89.38	105.14	106.24	106.62	597.1	353.05	305.33	245.99	224.16	528.99	568.64	582.49	2.86	1.66	19.93	19.94	25.88	509.29	543.87	560.31	0.87	0.85	0.78	0.76	0.73	0.71	0.83	0.84	0.84	-0.0	-0.01	0.03	0.04	0.06	0.8	0.81	0.81	0.19	0.86	1.11	1.52	1.76	0.35	0.27	0.24	0.17	0.51	0.58	0.66	0.7	0.27	0.21	0.2	-0.01	-0.02	0.04	0.05	0.07	0.97	0.96	0.96	-0.15	-0.26	-0.02	-0.03	-0.04	1.13	1.17	1.16	0.24	0.94	1.44	1.85	2.23	AT5G45470	E-
1343.0	42.03	42.03	30.35	364.91	322.88	392.26	343.15	524.42	442.87	318.29	220.08	192.59	159.81	144.93	292.24	303.65	303.95	310.64	216.8	188.95	156.03	136.4	50.84	50.95	51.22	41.24	38.73	37.64	36.01	34.97	40.72	40.99	40.98	277.05	181.35	154.95	123.8	109.96	251.52	262.66	262.97	7.65	3.28	3.64	3.78	8.53	241.4	252.7	252.73	0.88	0.87	0.82	0.8	0.77	0.75	0.86	0.86	0.86	-0.0	-0.03	-0.04	-0.03	-0.01	0.82	0.83	0.83	0.18	0.74	1.0	1.43	1.73	0.3	0.25	0.24	0.13	0.43	0.52	0.62	0.66	0.21	0.17	0.18	-0.01	-0.05	-0.07	-0.07	-0.06	0.96	0.96	0.96	-0.48	-0.85	-1.03	-1.0	-1.15	1.21	1.23	1.23	0.32	0.95	1.28	2.02	2.38	AT5G45470	E-
1063.0	48.01	48.01	35.32	399.01	351.0	430.17	379.9	560.15	479.14	352.5	227.92	197.32	165.98	152.44	329.48	342.39	343.71	347.32	228.85	194.85	163.17	140.32	59.24	58.63	57.57	47.2	43.65	42.26	40.43	39.42	46.72	47.03	47.02	305.3	184.27	155.06	125.55	113.02	282.76	295.36	296.69	5.18	-0.93	2.46	2.81	12.12	270.24	283.76	286.14	0.88	0.86	0.8	0.78	0.75	0.73	0.86	0.86	0.86	-0.0	-0.04	-0.03	-0.04	0.03	0.82	0.83	0.83	0.16	0.82	1.12	1.57	1.79	0.25	0.2	0.2	0.12	0.47	0.56	0.64	0.68	0.19	0.15	0.14	-0.01	-0.06	-0.06	-0.07	0.01	0.96	0.96	0.96	-0.37	-0.78	-0.78	-1.0	-0.66	1.22	1.21	1.21	0.29	1.04	1.69	2.16	2.72	AT5G45470	E-
869.0	37.28	37.28	25.38	337.52	300.24	355.09	308.51	481.45	403.96	289.34	207.63	179.1	149.15	134.02	271.69	279.86	281.23	280.09	209.93	175.63	141.44	123.83	47.52	46.4	46.23	36.53	34.57	33.53	32.13	31.22	36.18	36.34	36.36	252.81	173.06	145.58	117.02	102.81	235.51	243.53	244.87	9.25	-2.3	3.48	7.71	10.19	224.17	233.46	235.0	0.89	0.87	0.83	0.81	0.77	0.75	0.86	0.87	0.87	0.01	-0.05	-0.02	-0.0	0.01	0.82	0.83	0.83	0.2	0.69	0.98	1.43	1.72	0.29	0.25	0.25	0.14	0.42	0.51	0.61	0.66	0.2	0.18	0.17	0.0	-0.06	-0.04	-0.03	-0.03	0.95	0.96	0.96	-0.47	-1.04	-0.93	-0.85	-0.98	1.29	1.27	1.27	0.33	0.83	1.25	2.02	2.53	AT5G45470	E-
1790.0	54.99	54.99	41.4	457.98	402.99	483.22	429.58	615.01	533.8	399.31	267.97	230.92	194.01	176.35	374.9	387.27	392.3	384.95	265.92	219.99	181.17	161.32	63.33	67.72	65.38	53.97	50.35	48.73	46.68	45.46	53.46	53.71	53.82	345.33	217.63	182.19	147.33	130.89	321.43	333.56	338.48	14.35	2.06	10.94	12.84	15.03	311.56	319.55	326.91	0.88	0.86	0.81	0.79	0.75	0.74	0.86	0.86	0.86	0.02	-0.02	0.01	0.03	0.05	0.83	0.83	0.83	0.17	0.76	1.06	1.47	1.74	0.24	0.2	0.19	0.13	0.46	0.55	0.64	0.68	0.19	0.16	0.15	0.03	-0.03	0.01	0.03	0.05	0.97	0.96	0.97	-0.03	-0.51	-0.37	-0.34	-0.29	1.15	1.22	1.19	0.3	0.9	1.4	1.99	2.52	AT5G45470	E-
2374.0	109.45	109.45	92.6	845.98	736.53	880.67	812.41	1036.57	938.66	751.22	537.79	468.24	400.76	368.63	683.93	715.4	725.76	738.83	532.96	452.01	371.68	331.55	130.24	138.47	134.74	107.65	101.59	98.75	95.21	93.24	106.09	106.87	107.09	643.57	436.2	369.49	305.55	275.39	577.84	608.54	618.67	12.39	4.83	16.23	29.09	37.08	553.69	576.93	591.02	0.87	0.86	0.81	0.79	0.76	0.75	0.85	0.85	0.85	0.01	-0.0	0.02	0.06	0.09	0.81	0.81	0.82	0.13	0.6	0.84	1.16	1.35	0.25	0.2	0.18	0.12	0.41	0.5	0.59	0.63	0.21	0.17	0.16	0.01	-0.0	0.03	0.07	0.11	0.96	0.95	0.96	-0.03	-0.14	-0.02	0.14	0.25	1.18	1.23	1.2	0.21	0.7	1.01	1.78	1.8	AT5G45470	E-
